29.6,19.9,24.8,0.0
25.6,17.9,21.8,6.0
31.1,17.0,24.1,0.0
29.6,19.8,24.7,0.0
28.3,19.2,23.8,0.0
27.5,19.9,23.7,0.0
27.5,17.1,22.3,0.0
28.3,16.2,22.3,0.0
29.0,19.9,24.5,0.0
29.8,17.3,23.6,0.0
29.8,22.7,26.3,2.0
29.3,17.6,23.5,0.0
30.3,19.7,25.0,0.0
26.5,20.1,23.3,0.0
26.7,17.4,22.1,0.0
25.0,17.8,21.4,0.0
24.3,16.1,20.2,0.0
27.3,17.9,22.6,0.0
27.6,18.7,23.2,0.0
27.9,18.8,23.4,0.0
30.7,19.0,24.9,0.0
30.9,16.6,23.8,0.0
31.9,17.1,24.5,0.0
31.7,18.2,25.0,0.0
31.7,17.5,24.6,0.0
35.2,20.7,28.0,0.0
31.6,19.7,25.7,5.0
28.2,18.1,23.2,0.0
28.3,20.5,24.4,0.0
31.2,16.9,24.1,0.0
31.2,21.6,26.4,0.0
29.3,21.0,25.2,2.0
31.4,17.5,24.5,0.0
31.7,22.1,26.9,0.0
29.3,21.8,25.6,0.0
25.1,17.1,21.1,0.0
28.7,18.2,23.5,0.0
30.9,20.6,25.8,0.0
30.2,17.8,24.0,0.0
28.8,19.8,24.3,0.0
28.8,17.9,23.4,26.0
30.6,19.7,25.2,0.0
29.5,19.9,24.7,0.0
31.9,16.6,24.3,0.0
31.1,21.4,26.3,0.0
30.1,20.0,25.1,0.0
30.7,19.1,24.9,10.0
32.3,21.2,26.8,0.0
32.3,22.2,27.3,0.0
30.4,18.6,24.5,0.0
26.5,17.8,22.2,31.0
26.5,16.6,21.6,0.0
26.5,17.4,22.0,0.0
25.7,17.9,21.8,0.0
26.8,13.3,20.1,0.0
27.0,14.3,20.7,0.0
27.4,19.5,23.5,17.0
25.7,17.5,21.6,0.0
26.7,16.2,21.5,0.0
26.1,15.6,20.9,0.0
26.9,18.7,22.8,0.0
25.9,18.0,22.0,0.0
27.0,13.3,20.2,0.0
27.2,19.7,23.5,0.0
29.8,20.1,25.0,1.0
31.3,19.1,25.2,0.0
28.3,17.9,23.1,3.0
28.6,17.8,23.2,0.0
29.5,16.0,22.8,0.0
26.3,18.5,22.4,0.0
27.6,14.4,21.0,0.0
28.1,12.6,20.4,0.0
28.3,15.3,21.8,0.0
28.6,16.5,22.6,0.0
29.3,16.7,23.0,0.0
28.5,17.2,22.9,0.0
